item,added_date,expiry_days
apple ,2026-02-12,5
banana,2026-02-12,5
beetroot,2026-02-12,5
cabbage,2026-02-12,2
capsicum,2026-02-12,5
carrot,2026-02-12,10
cauliflower,2026-02-12,10
chilli pepper,2026-02-12,15
corn,2026-02-12,30
cucumber,2026-02-12,2
eggplant,2026-02-12,16
garlic,2026-02-12,15
ginger,2026-02-12,15
grapes,2026-02-12,2
jalepeno,2026-02-12,6
kiwi,2026-02-12,6
lemon,2026-02-12,6
lettuce,2026-02-12,4
mango,2026-02-12,6
onion,2026-02-12,15
orange,2026-02-12,5
paprika,2026-02-12,7
pear,2026-02-12,7
peas,2026-02-12,10
pineapple,2026-02-12,7
pomegranate,2026-02-12,10
potato,2026-02-12,15
raddish,2026-02-12,5
soy beans,2026-02-12,60
spinach,2026-02-12,5
sweetcorn,2026-02-12,10
sweetpotato,2026-02-12,15
tomato,2026-02-12,6
turnip,2026-02-12,10
watermelon,2026-02-12,10
soy beans,2026-02-12,5
soy beans,2026-02-12,5
soy beans,2026-02-12,5
soy beans,2026-02-12,5
soy beans,2026-02-12,5
soy beans,2026-02-12,5
soy beans,2026-02-12,5
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-12,7
apple,2026-02-27,5
apple,2026-02-27,5
potato,2026-02-27,30
potato,2026-02-27,30
potato,2026-02-27,30
apple,2026-02-27,7
banana,2026-02-27,5
cabbage,2026-02-27,14
